date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:35:43	69588/69588	---M-Z	200	added ('OK')	font/woff	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/socicon.woff?a93r5t	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/socicon21b8.woff	(from https://dictation.io/css/1598275350397.css)
07:35:44	1282/1282	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/glyphicons-halflings-regular.eot	(from https://dictation.io/css/1598275350397.css)
07:35:44	148727/148727	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/socicon.svg?a93r5t	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/socicon21b8.svg	(from https://dictation.io/css/1598275350397.css)
07:35:44	1282/1282	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/glyphicons-halflings-regulard41d.eot	(from https://dictation.io/css/1598275350397.css)
07:35:44	1282/1282	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/glyphicons-halflings-regular.woff	(from https://dictation.io/css/1598275350397.css)
07:35:44	69676/69676	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/socicon.eot?a93r5t	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/socicon21b8.eot	(from https://dictation.io/css/1598275350397.css)
07:35:44	1282/1282	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/glyphicons-halflings-regular.ttf	(from https://dictation.io/css/1598275350397.css)
07:35:44	69512/69512	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/socicon.ttf?a93r5t	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/socicon21b8.ttf	(from https://dictation.io/css/1598275350397.css)
07:35:45	1282/1282	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/glyphicons-halflings-regular.svg	(from https://dictation.io/css/1598275350397.css)
07:35:45	8672/8672	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/stack-interface.eot?33839631	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/stack-interfacea0e2.eot	(from https://dictation.io/css/1598275350397.css)
07:35:45	4292/4292	---M--	200	added ('OK')	font/woff2	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/stack-interface.woff2?33839631	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/stack-interfacea0e2.woff2	(from https://dictation.io/css/1598275350397.css)
07:35:45	5140/5140	---M-Z	200	added ('OK')	font/woff	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/stack-interface.woff?33839631	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/stack-interfacea0e2.woff	(from https://dictation.io/css/1598275350397.css)
07:35:46	6179/6179	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/stack-interface.svg?33839631	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/stack-interfacea0e2.svg	(from https://dictation.io/css/1598275350397.css)
07:35:46	8476/8476	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/fonts/stack-interface.ttf?33839631	C:/My%20Web%20Sites/VOICE/dictation.io/fonts/stack-interfacea0e2.ttf	(from https://dictation.io/css/1598275350397.css)
07:35:46	1282/1282	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2019:14:47%20GMT	https://dictation.io/languages/images/languages.jpg	C:/My%20Web%20Sites/VOICE/dictation.io/languages/images/languages.jpg	(from https://dictation.io/languages/en)
